  HR|  constell|RAh|RAm| RAs|DE-|DEd|DEm|DEs| Vmag|  Sp|       vernacular|
8775| 53Bet Peg| 23| 03|46.5|  +| 28| 04| 58| 2.42|  M2|           Scheat|
8780|  3    And| 23| 04|11.0|  +| 50| 03| 08| 4.65|  K0|                 |
8781| 54Alp Peg| 23| 04|45.7|  +| 15| 12| 19| 2.49|  B9|           Markab|
8787|   The Gru| 23| 06|52.8|  -| 43| 31| 14| 4.28|  F5|                 |
8789| 86    Aqr| 23| 06|40.9|  -| 23| 44| 35| 4.47|  G9|                 |
8795| 55    Peg| 23| 07|00.3|  +| 09| 24| 34| 4.52|  M1|                 |
8796| 56    Peg| 23| 07|06.8|  +| 25| 28| 06| 4.76|  G8|                 |
8797|  1    Cas| 23| 06|36.9|  +| 59| 25| 11| 4.85|  B0|                 |
8812| 88    Aqr| 23| 09|26.8|  -| 21| 10| 21| 3.66|  K1|                 |
8817| 89    Aqr| 23| 09|54.8|  -| 22| 27| 27| 4.69|  G2|                 |
8819| 33Pi  Cep| 23| 07|53.9|  +| 75| 23| 15| 4.41|  G2|                 |
8820|   Iot Gru| 23| 10|21.6|  -| 45| 14| 48| 3.90|  K1|                 |
8830|  7    And| 23| 12|33.0|  +| 49| 24| 23| 4.52|  F0|                 |
8834| 90Phi Aqr| 23| 14|19.4|  -| 06| 02| 56| 4.22|  M1|                 |
8841| 91Psi1Aqr| 23| 15|53.5|  -| 09| 05| 16| 4.21|  K0|                 |
8848|   Gam Tuc| 23| 17|25.8|  -| 58| 14| 09| 3.99|  F1|                 |
8852|  6Gam Psc| 23| 17|09.9|  +| 03| 16| 56| 3.69|  G9|                 |
8858| 93Psi2Aqr| 23| 17|54.2|  -| 09| 10| 57| 4.39|  B5|                 |
8860|  8    And| 23| 17|44.7|  +| 49| 00| 55| 4.85|  M2|                 |
8863|   Gam Scl| 23| 18|49.4|  -| 32| 31| 55| 4.41|  K1|                 |
8865| 95Psi3Aqr| 23| 18|57.7|  -| 09| 36| 39| 4.98|  A0|                 |
8872| 34Omi Cep| 23| 18|37.5|  +| 68| 06| 42| 4.75|  K0|                 |
8880| 62Tau Peg| 23| 20|38.2|  +| 23| 44| 25| 4.60|  A5|             Salm|
8892| 98    Aqr| 23| 22|58.2|  -| 20| 06| 02| 3.97|  K0|                 |
8904|  4    Cas| 23| 24|50.3|  +| 62| 16| 58| 4.98|  M1|                 |
8905| 68Ups Peg| 23| 25|22.8|  +| 23| 24| 15| 4.40|  F8|          Alkarab|
8906| 99    Aqr| 23| 26|02.8|  -| 20| 38| 31| 4.39|  K5|                 |
8911|  8Kap Psc| 23| 26|56.0|  +| 01| 15| 20| 4.94|  A0|                 |
8916| 10The Psc| 23| 27|58.1|  +| 06| 22| 44| 4.28|  K1|                 |
8923| 70    Peg| 23| 29|09.3|  +| 12| 45| 38| 4.55|  G7|                 |
8926|          | 23| 30|02.0|  +| 58| 32| 56| 4.91|  B3|                 |
8937|   Bet Scl| 23| 32|58.3|  -| 37| 49| 06| 4.37|  B9|                 |
8939|101    Aqr| 23| 33|16.6|  -| 20| 54| 52| 4.71|  A1|                 |
8943| 72    Peg| 23| 33|57.2|  +| 31| 19| 31| 4.98|  K4|                 |
8949|   Iot Phe| 23| 35|04.6|  -| 42| 36| 54| 4.71|  A2|                 |
8959|          | 23| 37|51.0|  -| 45| 29| 33| 4.74|  A2|                 |
8961| 16Lam And| 23| 37|33.9|  +| 46| 27| 29| 3.82|  G8|                 |
8965| 17Iot And| 23| 38|08.2|  +| 43| 16| 05| 4.29|  B8|                 |
8968|102Ome1Aqr| 23| 39|47.1|  -| 14| 13| 18| 5.00|  F0|                 |
8969| 17Iot Psc| 23| 39|57.0|  +| 05| 37| 35| 4.13|  F7|                 |
8974| 35Gam Cep| 23| 39|20.8|  +| 77| 37| 57| 3.21|  K1|            Errai|
8976| 19Kap And| 23| 40|24.5|  +| 44| 20| 02| 4.14|  B9|                 |
8982|104    Aqr| 23| 41|45.8|  -| 17| 48| 59| 4.82|  G0|                 |
8984| 18Lam Psc| 23| 42|02.8|  +| 01| 46| 48| 4.50|  A7|                 |
8988|105Ome2Aqr| 23| 42|43.3|  -| 14| 32| 42| 4.49|  B9|                 |
8997| 78    Peg| 23| 43|59.5|  +| 29| 21| 42| 4.93|  K0|                 |
9003| 20Psi And| 23| 46|02.1|  +| 46| 25| 13| 4.95|  G5|                 |
9008|  5Tau Cas| 23| 47|03.5|  +| 58| 39| 07| 4.87|  K1|                 |
9016|   Del Scl| 23| 48|55.6|  -| 28| 07| 49| 4.57|  A0|                 |
9045|  7Rho Cas| 23| 54|23.0|  +| 57| 29| 58| 4.54|  G2|                 |
9062|   Eta Tuc| 23| 57|35.2|  -| 64| 17| 54| 5.00|  A1|                 |
9064| 84Psi Peg| 23| 57|45.5|  +| 25| 08| 29| 4.66|  M3|                 |
9066|          | 23| 58|24.8|  +| 51| 23| 19| 4.8 |  M7|                 |
9067| 27    Psc| 23| 58|40.4|  -| 03| 33| 22| 4.86|  G9|                 |
9071|  8Sig Cas| 23| 59|00.5|  +| 55| 45| 18| 4.88|  B1|                 |
9072| 28Ome Psc| 23| 59|18.7|  +| 06| 51| 48| 4.01|  F4|                 |
9076|   Eps Tuc| 23| 59|55.0|  -| 65| 34| 38| 4.50|  B9|                 |
9084|   The Oct| 00| 01|35.7|  -| 77| 03| 57| 4.78|  K3|                 |
9089| 30    Psc| 00| 01|57.6|  -| 06| 00| 51| 4.41|  M3|                 |
9098|  2    Cet| 00| 03|44.4|  -| 17| 20| 10| 4.55|  B9|                 |
9103|  3    Cet| 00| 04|30.1|  -| 10| 30| 34| 4.94|  K3|                 |
